State,Overall - Diabetes-DataValue,Males - Diabetes-DataValue,Females - Diabetes-DataValue,est - Total Pop,est - Total Pop 18 and Over - %,est - Total Pop 18 and Over – Male - %,est - Total Pop 18 and Over – Female - %,Total Pop 18 and Over,Total Pop 18 and Over – Male,Total Pop 18 and Over – Female,Diabetes Prevalance - 18 and over,Diabetes Prevalance - Males 18 and over,Diabetes Prevalance - Females 18 and over
Alabama,15.5,14.8,16.3,5074296,78.1,47.8,52.2,3963025.1759999995,2425513.488,2648782.512,614268.9022799999,358975.99622400006,431751.54945600004
Alaska,8.7,8.7,8.7,733583,76.0,53.1,46.9,557523.08,389532.57300000003,344050.42699999997,48504.507959999995,33889.333851,29932.387148999995
Arizona,12.7,14.0,11.5,7359197,78.4,49.7,50.3,5769610.448,3657520.9090000005,3701676.091,732740.526896,512052.9272600001,425692.75046500005
Arkansas,15.7,15.6,15.8,3045637,77.2,48.8,51.2,2351231.764,1486270.856,1559366.144,369143.386948,231858.25353599997,246379.85075200003
California,11.5,12.0,11.1,39029342,78.2,49.7,50.3,30520945.444000002,19397582.974000003,19631759.026,3509908.7260600002,2327709.9568800004,2179125.251886
Colorado,8.1,8.8,7.4,5839926,79.3,50.6,49.4,4631061.318,2955002.556,2884923.444,375115.966758,260040.224928,213484.33485600003
Connecticut,10.7,11.6,10.0,3626205,79.9,48.4,51.6,2897337.795,1755083.22,1871121.78,310015.144065,203589.65352,187112.178
Delaware,13.9,15.0,12.8,1018396,79.6,48.0,52.0,810643.2159999999,488830.07999999996,529565.92,112679.407024,73324.51199999999,67784.43776
Florida,12.2,14.0,10.5,22244823,80.7,48.8,51.2,17951572.161000002,10855473.624,11389349.376,2190091.803642,1519766.3073600002,1195881.68448
Georgia,12.1,12.6,11.6,10912876,77.0,48.1,51.9,8402914.52,5249093.356000001,5663782.644,1016752.6569199999,661385.7628560001,656998.786704
Hawaii,11.7,12.6,10.9,1440196,79.4,50.0,50.0,1143515.624,720098.0,720098.0,133791.328008,90732.348,78490.682
Idaho,9.9,11.0,8.8,1939033,76.0,50.1,49.9,1473665.08,971455.533,967577.467,145892.84292000002,106860.10863,85146.817096
Illinois,12.0,12.5,11.5,12582032,78.4,49.0,51.0,9864313.088,6165195.68,6416836.32,1183717.57056,770649.46,737936.1768
Indiana,12.7,13.8,11.6,6833037,77.0,49.1,50.9,5261438.49,3355021.167,3478015.833,668202.6882300001,462992.92104600003,403449.83662799996
Iowa,11.6,11.3,11.9,3200517,77.6,49.9,50.1,2483601.192,1597057.983,1603459.017,288097.73827199993,180467.55207900002,190811.62302300002
Kansas,11.4,12.0,10.8,2937150,76.6,49.8,50.2,2249856.9,1462700.7,1474449.3,256483.6866,175524.08399999997,159240.52440000002
Kentucky,14.8,14.4,15.1,4512310,77.7,49.0,51.0,3506064.87,2211031.9,2301278.1,518897.60076000006,318388.5936,347492.9931
Louisiana,14.7,12.4,16.8,4590241,76.9,48.3,51.7,3529895.329,2217086.403,2373154.597,518894.613363,274918.713972,398689.97229600005
Maine,11.1,12.0,10.2,1385340,82.3,49.0,51.0,1140134.8199999998,678816.6,706523.4,126554.96501999999,81457.992,72065.3868
Maryland,11.9,12.9,11.0,6164660,78.2,48.0,52.0,4820764.12,2959036.8,3205623.2,573670.9302800001,381715.7472,352618.552
Massachusetts,10.5,12.0,9.1,6981974,80.9,48.4,51.6,5648416.966,3379275.4159999997,3602698.5840000003,593083.78143,405513.04991999996,327845.571144
Michigan,11.6,10.6,12.6,10034118,79.0,49.2,50.8,7926953.220000001,4936786.056000001,5097331.944,919526.57352,523299.3219360001,642263.824944
Minnesota,10.2,10.7,9.7,5717184,77.5,49.9,50.1,4430817.600000001,2852874.816,2864309.184,451943.3952,305257.605312,277837.990848
Mississippi,15.3,14.3,16.3,2940057,77.0,47.8,52.2,2263843.89,1405347.246,1534709.754,346368.11517,200964.65617800003,250157.689902
Missouri,11.7,12.7,10.8,6177957,77.9,48.8,51.2,4812628.5030000005,3014843.016,3163113.984,563077.5348510001,382885.063032,341616.31027200003
Montana,8.4,9.4,7.4,1122867,79.1,50.3,49.7,888187.7969999999,564802.101,558064.8990000001,74607.77494799999,53091.397494000004,41296.802526000014
Nebraska,10.8,11.9,9.7,1967923,75.9,49.9,50.1,1493653.557,981993.577,985929.423,161314.58415600003,116857.23566300001,95635.15403099998
Nevada,10.1,10.3,9.9,3177772,78.3,50.2,49.8,2488195.476,1595241.544,1582530.456,251307.74307599996,164309.87903200003,156670.515144
New Hampshire,9.7,10.7,8.8,1395231,82.0,49.7,50.3,1144089.42,693429.807,701801.193,110976.67373999998,74196.989349,61758.50498400001
New Jersey,10.8,11.7,10.0,9261699,78.5,48.8,51.2,7270433.715,4519709.112,4741989.888,785206.8412200001,528805.966104,474198.98880000005
New Mexico,12.6,12.8,12.4,2113344,78.4,49.3,50.7,1656861.696,1041878.592,1071465.408,208764.573696,133360.459776,132861.71059200002
New York,11.3,11.9,10.8,19677151,79.8,48.3,51.7,15702366.497999998,9504063.933,10173087.067,1774367.4142739999,1130983.6080270002,1098693.403236
North Carolina,12.1,12.1,12.1,10698973,78.6,48.3,51.7,8409392.777999999,5167603.959,5531369.041,1017536.5261379998,625280.079039,669295.653961
North Dakota,9.6,10.1,9.0,779261,76.8,51.0,49.0,598472.448,397423.11,381837.89,57453.355008,40139.73411,34365.4101
Ohio,13.1,13.3,12.8,11756058,78.2,48.9,51.1,9193237.356,5748712.362,6007345.638,1204314.093636,764578.744146,768940.2416640001
Oklahoma,13.3,13.3,13.3,4019800,76.3,49.4,50.6,3067107.4,1985781.2,2034018.8,407925.2842,264108.8996,270524.5004
Oregon,10.3,10.7,10.0,4240137,80.4,49.6,50.4,3409070.148,2103107.952,2137029.048,351134.22524400003,225032.550864,213702.90480000002
Pennsylvania,11.5,11.6,11.3,12972008,79.8,48.9,51.1,10351662.384,6343311.912,6628696.088,1190441.17416,735824.1817919998,749042.6579440001
Rhode Island,11.5,13.3,9.9,1093734,81.4,48.6,51.4,890299.476,531554.7239999999,562179.2760000001,102384.43974,70696.77829199999,55655.74832400001
South Carolina,12.9,13.6,12.2,5282634,78.9,48.0,52.0,4167998.2260000003,2535664.32,2746969.68,537671.7711540001,344850.34752,335130.30096
South Dakota,9.1,10.2,8.0,909824,75.9,50.7,49.3,690556.416,461280.768,448543.232,62840.63385599999,47050.638335999996,35883.45856
Tennessee,14.8,16.2,13.5,7051339,78.2,48.5,51.5,5514147.098,3419899.415,3631439.585,816093.7705040001,554023.7052300001,490244.343975
Texas,13.9,14.4,13.4,30029572,75.2,49.7,50.3,22582238.144,14924697.284000002,15104874.716,3138931.1020160005,2149156.4088960006,2024053.211944
Utah,8.7,9.4,8.1,3380800,72.5,50.5,49.5,2451080.0,1707304.0,1673496.0,213243.96,160486.576,135553.176
Vermont,8.4,8.5,8.3,647064,82.4,49.2,50.8,533180.736,318355.488,328708.512,44787.18182400001,27060.216480000003,27282.806496
Virginia,12.8,12.7,12.8,8683619,78.6,49.0,51.0,6825324.533999999,4254973.31,4428645.69,873641.5403519999,540381.61037,566866.64832
Washington,9.7,10.1,9.2,7785786,78.9,50.2,49.8,6142985.154,3908464.572,3877321.428,595869.5599379999,394754.921772,356713.571376
West Virginia,17.4,17.3,17.6,1775156,80.2,49.5,50.5,1423675.1120000002,878702.22,896453.78,247719.46948800003,152015.48406000002,157775.86528000003
Wisconsin,10.3,10.9,9.6,5892539,78.9,49.8,50.2,4649213.271000001,2934484.422,2958054.578,478868.9669130001,319858.80199799995,283973.23948800005
Wyoming,9.3,10.0,8.7,581381,77.7,51.0,49.0,451733.037,296504.31,284876.69,42011.17244100001,29650.431,24784.27203
